,,Correct?,,Seconds,,Dollars,,Tokens,,Cell Accuracy,,
Model:,Question 1,,Question Time 1,,Question Cost 1,,Question Tokens 1,,Cell Accuracy 1,,Output 1,
GPT-5.4 nano high flex,Question 2,,Question Time 2,,Question Cost 2,,Question Tokens 2,,Cell Accuracy 2,,Output 2,
Date:,Question 3,,Question Time 3,,Question Cost 3,,Question Tokens 3,,Cell Accuracy 3,,Output 3,
2026-06-06,Question 4,,Question Time 4,,Question Cost 4,,Question Tokens 4,,Cell Accuracy 4,,Output 4,
Thinking level:,Question 5,0,Question Time 5,183.46,Question Cost 5,$0.023045,Question Tokens 5,44736,Cell Accuracy 5,18.52%,Output 5,"{""outputs"":[[[7,2,2],[3,7,7],[3,7,7],[7,2,2],[6,2,2],[6,6,6],[6,4,4],[4,6,6],[2,2,2]]]}"
high,Question 6,0,Question Time 6,148.81,Question Cost 6,$0.017384,Question Tokens 6,30539,Cell Accuracy 6,90.00%,Output 6,"{""outputs"":[[[0,5,5,5,5,4,5,0,0,0,5,0,0,0,5,0,0,0,5,0],[0,0,0,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0],[0,0,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2],[0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,7,6,6,4,6,7,6,7,6,7,6,7,6,7,6,7,6,7],[0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[6,6,8,8,8,4,8,0,6,8,0,0,8,0,6,8,0,0,8,0],[0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]],[[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,0,0,0,0,0,0,0,0,0,0,2,3,2,2],[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,0,0,0,0,0,0,0,0,0,4,4,3,4,0],[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,0,0,0,0,0,0,0,6,6,6,6,3,6,0],[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,0,0,0,0,0,0,0,0,0,9,7,3,7,7]],[[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0]]]}"
,Question 7,0,Question Time 7,275.72,Question Cost 7,$0.031936,Question Tokens 7,52278,Cell Accuracy 7,62.90%,Output 7,"{""outputs"":[[[4,4,4,4,4,4,4,4,4,4],[4,1,4,1,4,1,4,4,4,1],[4,1,4,1,4,4,4,4,4,1],[4,1,4,1,4,4,4,4,4,1],[1,1,1,1,1,4,1,4,1,1],[1,1,1,1,1,4,4,4,1,1]],[[4,4,4,1,1],[4,1,1,4,1],[4,1,1,1,4],[4,4,4,4,4],[4,4,4,4,4],[4,1,1,1,4],[1,4,1,1,4],[1,1,4,4,4]]]}"
,Question 8,0,Question Time 8,103.83,Question Cost 8,$0.013342,Question Tokens 8,29016,Cell Accuracy 8,31.56%,Output 8,"{""outputs"":[[[4,0,0,0,4,4,0,0,0,4,4,0,0,0,4,4,0,0,0,4,0],[4,4,0,4,4,4,4,0,4,4,4,4,0,4,4,4,4,0,4,4,4],[0,4,4,4,0,0,4,4,4,0,0,4,4,4,0,0,4,4,4,0,0]],[[9,9],[8,9],[8,8],[8,4],[4,4],[9,4],[9,9],[9,8],[8,8],[4,8],[4,4],[4,9],[9,9],[0,9]]]}"
,Question 9,,Question Time 9,,Question Cost 9,,Question Tokens 9,,Cell Accuracy 9,,Output 9,
,Question 10,,Question Time 10,,Question Cost 10,,Question Tokens 10,,Cell Accuracy 10,,Output 10,
