,,Correct?,,Seconds,,Dollars,,Tokens,,Cell Accuracy,,
Model:,Question 1,,Question Time 1,,Question Cost 1,,Question Tokens 1,,Cell Accuracy 1,,Output 1,
GPT-5.4 mini high flex,Question 2,,Question Time 2,,Question Cost 2,,Question Tokens 2,,Cell Accuracy 2,,Output 2,
Date:,Question 3,0,Question Time 3,374.61,Question Cost 3,$0.182084,Question Tokens 3,84217,Cell Accuracy 3,98.22%,Output 3,"{""outputs"":[[[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,3,3,3,3,3,3,8,3,3,3,3,3,3,8,3,3,3,3,3,3,8,3,3,3,3,3,3,8],[8,3,8,8,8,8,3,8,3,1,8,8,8,3,8,3,4,4,8,8,3,8,3,8,8,8,8,3,8],[8,3,8,2,2,8,3,8,3,8,1,8,8,3,8,3,4,4,4,4,3,8,3,8,8,8,8,3,8],[8,3,8,2,2,8,3,8,3,8,8,1,8,3,8,3,8,8,8,4,3,8,3,8,9,9,8,3,8],[8,3,8,8,8,8,3,8,3,8,8,8,1,3,8,3,4,4,4,4,3,8,3,8,9,8,8,3,8],[8,3,8,2,2,8,3,8,3,8,8,1,8,3,8,3,4,8,8,8,3,8,3,8,8,8,8,3,8],[8,3,8,2,2,8,3,8,3,8,1,8,8,3,8,3,4,4,4,4,3,8,3,8,9,8,8,3,8],[8,3,8,8,8,8,3,8,3,1,8,8,8,3,8,3,8,8,8,4,3,8,3,8,9,9,8,3,8],[8,3,8,2,2,8,3,8,3,8,1,8,8,3,8,3,4,4,4,4,3,8,3,8,9,8,8,3,8],[8,3,8,2,2,8,3,8,3,8,8,1,8,3,8,3,4,8,8,8,3,8,3,8,8,8,8,3,8],[8,3,8,8,8,8,3,8,3,8,8,8,1,3,8,3,4,4,4,4,3,8,3,8,9,8,8,3,8],[8,3,8,2,2,8,3,8,3,8,8,1,8,3,3,8,3,8,8,8,4,3,8,3,8,9,9,8,3],[8,3,8,2,2,8,3,8,3,8,1,8,8,3,8,3,4,4,4,4,3,8,3,8,9,8,8,3,8],[8,3,8,8,8,8,3,8,3,1,8,8,8,3,8,3,4,8,8,8,3,8,3,8,8,8,8,3,8],[8,3,8,2,2,8,3,8,3,8,1,8,8,3,8,3,4,4,4,4,3,8,3,8,8,8,8,3,8],[8,3,8,2,2,8,3,8,3,8,8,1,8,3,8,3,8,8,8,4,3,8,3,8,9,9,8,3,8],[8,3,8,8,8,8,3,8,3,8,8,8,1,3,8,3,4,4,4,4,3,8,3,8,9,8,8,3,8],[8,3,8,2,2,8,3,8,3,8,8,1,8,3,8,3,4,8,8,8,3,8,3,8,8,8,8,3,8],[8,3,8,2,2,8,3,8,3,8,1,8,8,3,8,3,4,4,4,4,3,8,3,8,9,8,8,3,8],[8,3,8,8,8,8,3,8,3,1,8,8,8,3,8,3,8,8,8,4,3,8,3,8,9,9,8,3,8],[8,3,8,2,2,8,3,8,3,8,1,8,8,3,8,3,4,4,4,4,3,8,3,8,9,8,8,3,8],[8,3,8,2,2,8,3,8,3,8,8,1,8,3,8,3,4,8,8,8,3,8,3,8,8,8,8,3,8],[8,3,8,8,8,8,3,8,3,8,8,8,1,3,8,3,4,4,4,4,3,8,3,8,9,8,8,3,8],[8,3,8,2,2,8,3,8,3,8,8,1,8,3,8,3,8,8,8,4,3,8,3,8,9,9,8,3,8],[8,3,8,2,2,8,3,8,3,8,1,8,8,3,8,3,4,4,4,4,3,8,3,8,9,8,8,3,8],[8,3,8,8,8,8,3,8,3,1,8,8,8,3,8,3,4,8,8,8,3,8,3,8,8,8,8,3,8],[8,3,3,3,3,3,3,8,3,3,3,3,3,3,8,3,3,3,3,3,3,8,3,3,3,3,3,3,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8]]]}"
2026-06-04,Question 4,0,Question Time 4,76.69,Question Cost 4,$0.036807,Question Tokens 4,19491,Cell Accuracy 4,83.75%,Output 4,"{""outputs"":[[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3],[3,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,3],[3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3],[3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3],[3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3],[3,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,3],[3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,3],[3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,3],[3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,3],[3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,3],[3,3,3,3,3,3,3,3,3,1,1,1,1,3,3,3,1,1,1,3],[3,1,1,1,1,1,1,1,3,1,1,1,1,3,3,1,1,1,1,3],[3,1,1,1,1,1,1,1,3,1,1,1,1,3,3,1,1,1,1,3],[3,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,3],[3,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,0,0,0,0],[3,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,0,0,0,0],[3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,1,0,0,0,0],[3,3,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]]}"
Thinking level:,Question 5,0,Question Time 5,228.45,Question Cost 5,$0.107391,Question Tokens 5,55530,Cell Accuracy 5,44.44%,Output 5,"{""outputs"":[[[3,1,9],[3,2,9],[3,2,9],[3,1,9],[3,2,7],[9,7,7],[7,6,1],[7,6,6],[5,1,9]]]}"
high,Question 6,0,Question Time 6,159.37,Question Cost 6,$0.071585,Question Tokens 6,34518,Cell Accuracy 6,94.32%,Output 6,"{""outputs"":[[[0,5,5,5,5,4,5,0,0,0,5,0,0,0,5,0,0,0,5,0],[0,0,0,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,7,6,6,4,6,7,6,7,6,7,6,7,6,7,6,7,6,7],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[6,6,8,8,8,4,8,6,0,8,6,0,8,6,0,8,6,0,8,6],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]],[[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,0,0,0,0,0,0,0,0,0,0,2,3,2,2],[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,0,0,0,0,0,0,0,0,0,4,4,3,4,0],[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,0,0,0,0,0,0,0,6,6,6,6,3,6,0],[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,0,0,0,0,0,0,0,0,0,9,7,3,7,7]],[[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[4,4,4,4,4,4,4,4,4,4,4,4,3,4,0],[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,7,0,7,0,7,0,7,0,7,0,7,3,7,7],[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[6,6,6,6,6,6,6,6,6,6,6,6,3,6,0],[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,5,0,5,0,5,0,5,0,5,0,5,3,5,5]]]}"
,Question 7,0,Question Time 7,162.43,Question Cost 7,$0.067719,Question Tokens 7,31268,Cell Accuracy 7,47.92%,Output 7,"{""outputs"":[[[4,4,4,4,4,4,4,4,4,4],[4,1,4,1,4,1,4,1,4,1],[4,1,4,1,4,1,4,1,4,1],[4,1,4,1,4,1,4,1,4,1],[1,4,1,4,1,1,1,1,1,1],[1,4,1,4,1,1,1,1,1,1],[1,4,1,4,1,1,1,1,1,1],[1,4,4,4,4,1,1,1,1,1]],[[4,4,4,1,1],[4,1,1,4,1],[4,1,1,1,4],[4,4,4,4,4],[4,4,4,4,4],[4,1,1,1,4],[1,4,1,1,4],[1,1,4,4,4]]]}"
,Question 8,0,Question Time 8,304.96,Question Cost 8,$0.132488,Question Tokens 8,66491,Cell Accuracy 8,35.22%,Output 8,"{""outputs"":[[[4,4,4,4,4,4],[4,0,0,0,0,0],[4,4,4,4,4,4]],[[3,3,3],[3,0,3],[2,2,2],[2,0,2],[3,3,3],[3,0,3],[2,2,2],[2,0,2],[3,3,3],[3,0,3],[2,2,2],[2,0,2],[3,3,3],[3,0,3]]]}"
,Question 9,0,Question Time 9,422.59,Question Cost 9,$0.178311,Question Tokens 9,83585,Cell Accuracy 9,23.78%,Output 9,"{""outputs"":[[[9,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9,9,9,9,7,7,7,7],[9,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9,9,9,9,7,7,7,7],[0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,7,7,7,7],[0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,7,7,7,7],[0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,7,7,7,7],[0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,7,7,7,7],[0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,7,7,7,7],[0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,7,7,7,7],[0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,7,7,7,7],[0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,7,7,7,7],[0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,7,7,7,7],[0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,7,7,7,7],[0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,7,7,7,7],[0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,7,7,7,7],[6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,8,8,8,8],[6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,8,8,8,8],[6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,8,8,8,8],[6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,8,8,8,8],[6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,8,8,8,8],[6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,8,8,8,8],[6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,8,8,8,8],[6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,8,8,8,8],[6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,8,8,8,8],[6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,8,8,8,8],[9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8]],[[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7],[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7],[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7],[3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7],[3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7],[3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7],[3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7],[3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7],[3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7],[3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7],[3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7],[3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7],[3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7],[3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7],[3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7],[3,3,3,3,3,3,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7],[3,3,3,3,3,3,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7],[3,3,3,3,3,3,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7],[3,3,3,3,3,3,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7],[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2]]]}"
,Question 10,0,Question Time 10,312.62,Question Cost 10,$0.141206,Question Tokens 10,69689,Cell Accuracy 10,65.05%,Output 10,"{""outputs"":[[[8,8,8,8,8,8,8,4,4,4,4,3,3,3,3,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,8,8,6,6,6,6,6,6,6,6,8,8,8,8,6,6,6,6,6,8,8,8,8,8],[8,8,8,8,6,6,6,6,6,6,8,8,8,6,6,6,6,6,6,6,6,6,8,8,8],[8,8,8,8,8,6,6,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,8,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,8,6,6,6,8,8,8,8],[8,8,8,8,8,6,8,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8],[8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,6,8,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,8],[8,8,8,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,8],[8,8,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,8,8,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,8,8,8,8,8],[8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,8],[8,8,8,8,8,8,8,3,3,3,3,4,4,4,4,8,8,8,8,8,8,8,8,8,8]],[[2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2],[2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2],[2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2],[2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2],[2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,3],[4,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,3],[4,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1,3],[4,2,2,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1,3],[4,2,2,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,2,3],[4,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,2],[2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2],[2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2],[2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2],[2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2],[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2],[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2],[2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2],[2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2],[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2],[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],[2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2],[2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2],[2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2],[2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2],[2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2],[2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2],[2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2],[2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2],[2,2,2,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],[2,2,8,8,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2]]]}"
