,,Correct?,,Seconds,,Dollars,,Tokens,,Cell Accuracy,,
Score:,Question 1,1,Question Time 1,266,Question Cost 1,,Question Tokens 1,,Cell Accuracy 1,100%,Output 1,
83.33%,Question 2,1,Question Time 2,100,Question Cost 2,,Question Tokens 2,,Cell Accuracy 2,100%,Output 2,
Total Time (seconds):,Question 3,1,Question Time 3,105,Question Cost 3,,Question Tokens 3,,Cell Accuracy 3,100%,Output 3,"{""output"": [[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [8, 3, 3, 3, 3, 3, 3, 8, 3, 3, 3, 3, 3, 3, 8, 3, 3, 3, 3, 3, 3, 8, 3, 3, 3, 3, 3, 3, 8], [8, 3, 8, 8, 8, 8, 3, 8, 3, 1, 8, 8, 8, 3, 8, 3, 4, 8, 8, 8, 3, 8, 3, 8, 8, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 1, 8, 8, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 8, 1, 8, 3, 8, 3, 8, 8, 8, 4, 3, 8, 3, 8, 9, 9, 8, 3, 8], [8, 3, 8, 8, 8, 8, 3, 8, 3, 8, 8, 8, 1, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 8, 1, 8, 3, 8, 3, 4, 8, 8, 8, 3, 8, 3, 8, 8, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 1, 8, 8, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 8, 8, 8, 3, 8, 3, 1, 8, 8, 8, 3, 8, 3, 8, 8, 8, 4, 3, 8, 3, 8, 9, 9, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 1, 8, 8, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 8, 1, 8, 3, 8, 3, 4, 8, 8, 8, 3, 8, 3, 8, 8, 8, 8, 3, 8], [8, 3, 8, 8, 8, 8, 3, 8, 3, 8, 8, 8, 1, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 8, 1, 8, 3, 8, 3, 8, 8, 8, 4, 3, 8, 3, 8, 9, 9, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 1, 8, 8, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 8, 8, 8, 3, 8, 3, 1, 8, 8, 8, 3, 8, 3, 4, 8, 8, 8, 3, 8, 3, 8, 8, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 1, 8, 8, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 8, 1, 8, 3, 8, 3, 8, 8, 8, 4, 3, 8, 3, 8, 9, 9, 8, 3, 8], [8, 3, 8, 8, 8, 8, 3, 8, 3, 8, 8, 8, 1, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 8, 1, 8, 3, 8, 3, 4, 8, 8, 8, 3, 8, 3, 8, 8, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 1, 8, 8, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 8, 8, 8, 3, 8, 3, 1, 8, 8, 8, 3, 8, 3, 8, 8, 8, 4, 3, 8, 3, 8, 9, 9, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 1, 8, 8, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 8, 1, 8, 3, 8, 3, 4, 8, 8, 8, 3, 8, 3, 8, 8, 8, 8, 3, 8], [8, 3, 8, 8, 8, 8, 3, 8, 3, 8, 8, 8, 1, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 8, 1, 8, 3, 8, 3, 8, 8, 8, 4, 3, 8, 3, 8, 9, 9, 8, 3, 8], [8, 3, 8, 2, 2, 8, 3, 8, 3, 8, 1, 8, 8, 3, 8, 3, 4, 4, 4, 4, 3, 8, 3, 8, 9, 8, 8, 3, 8], [8, 3, 8, 8, 8, 8, 3, 8, 3, 1, 8, 8, 8, 3, 8, 3, 4, 8, 8, 8, 3, 8, 3, 8, 8, 8, 8, 3, 8], [8, 3, 3, 3, 3, 3, 3, 8, 3, 3, 3, 3, 3, 3, 8, 3, 3, 3, 3, 3, 3, 8, 3, 3, 3, 3, 3, 3, 8], [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]]}"
5932,Question 4,1,Question Time 4,117,Question Cost 4,,Question Tokens 4,,Cell Accuracy 4,100%,Output 4,"{""output"":[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3],[3,1,1,1,0,0,0,0,3,3,3,3,3,3,1,1,1,1,1,3],[3,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3],[3,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3],[3,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3],[3,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,3],[3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,3],[3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,3],[3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,3],[3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,3],[3,3,3,3,3,3,3,3,3,1,1,1,1,3,3,3,1,1,1,3],[3,1,1,1,1,1,1,1,3,1,1,1,1,3,3,1,1,1,1,3],[3,1,1,1,1,1,1,1,3,1,1,1,1,3,3,1,1,1,1,3],[3,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,3],[3,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,2,2,2,2],[3,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,2,2,2,2],[3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,1,2,2,2,2],[3,3,3,1,1,1,1,1,1,1,1,1,1,3,3,1,2,2,2,2],[3,3,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]}"
Total Cost (dollars):,Question 5,1,Question Time 5,277,Question Cost 5,,Question Tokens 5,,Cell Accuracy 5,100%,Output 5,"{""output"": [[7, 7, 9], [7, 2, 9], [7, 2, 9], [7, 7, 9], [4, 4, 7], [4, 4, 7], [6, 6, 1], [6, 6, 6], [1, 6, 1]]}"
0,Question 6,1,Question Time 6,119,Question Cost 6,,Question Tokens 6,,Cell Accuracy 6,100%,Output 6,"{""outputs"":[[[0,5,5,5,5,4,5,0,0,0,5,0,0,0,5,0,0,0,5,0],[0,0,0,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0],[0,0,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2],[0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,7,6,6,4,6,7,6,7,6,7,6,7,6,7,6,7,6,7],[0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[6,6,8,8,8,4,8,0,6,8,6,0,8,0,6,8,6,0,8,0],[0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]],[[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,0,0,0,0,0,0,0,0,0,0,2,3,2,2],[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,0,0,0,0,0,0,0,0,0,4,4,3,4,0],[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,0,0,0,0,0,0,0,6,6,6,6,3,6,0],[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,0,0,0,0,0,0,0,0,0,9,7,3,7,7]],[[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[4,4,4,4,4,4,4,4,4,4,4,4,3,4,0],[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,7,0,7,0,7,0,7,0,7,0,7,3,7,7],[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[6,6,6,6,6,6,6,6,6,6,6,6,3,6,0],[0,0,0,0,0,0,0,0,0,0,0,0,3,0,0],[0,5,0,5,0,5,0,5,0,5,0,5,3,5,5]]]}"
Model:,Question 7,1,Question Time 7,269,Question Cost 7,,Question Tokens 7,,Cell Accuracy 7,100%,Output 7,"{""outputs"": [[[4, 4, 4, 4, 4, 4, 4, 4, 4, 4], [4, 1, 4, 1, 4, 4, 4, 4, 4, 1], [4, 1, 4, 1, 4, 4, 4, 4, 4, 1], [4, 1, 4, 1, 4, 4, 4, 4, 4, 1], [1, 1, 1, 1, 1, 4, 4, 4, 1, 1]], [[4, 4, 4, 1, 1, 1, 1, 1], [4, 1, 1, 4, 1, 1, 1, 1], [4, 1, 1, 1, 4, 1, 1, 1], [4, 4, 4, 4, 4, 1, 1, 1], [1, 1, 1, 4, 4, 4, 4, 4], [1, 1, 1, 4, 1, 1, 1, 4], [1, 1, 1, 1, 4, 1, 1, 4], [1, 1, 1, 1, 1, 4, 4, 4]]]}"
chatgpt 5.5 ET,Question 8,1,Question Time 8,323,Question Cost 8,,Question Tokens 8,,Cell Accuracy 8,100%,Output 8,"{""outputs"":[[[0,6,6,6,6,0,6,6,6,6,0,6,6,6,6,0,6,6,6,6,0],[6,6,0,0,6,6,6,0,0,6,6,6,0,0,6,6,6,0,0,6,6]],[[0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0],[0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0],[0,0,0,0,3,3,3,0,0,0,3,3,3,0,0,0,0],[0,0,0,0,3,0,2,0,0,0,2,0,3,0,0,0,0],[0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,0,0],[0,0,2,0,3,0,0,0,0,0,0,0,3,0,2,0,0],[3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3],[3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,3]]]}"
Date:,Question 9,0,Question Time 9,618,Question Cost 9,,Question Tokens 9,,Cell Accuracy 9,70.70%,Output 9,"{""outputs"":[[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9,3,3,3],[3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,3,3,3,9,9,9,9,3,3],[3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,3,9,9,9,9,3,3],[3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,9,9,9,9,3,3],[3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,3,3,3,3,3,3],[3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,3,3,3,3,3,8],[3,8,8,8,8,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,3,3,3,3,3,3,8,8],[3,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,8,8,8],[3,8,8,2,2,2,2,2,2,2,2,2,2,6,6,6,6,2,2,2,2,2,3,3,3,3,3,8,8,8],[3,8,8,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,2,2,3,3,3,3,8,8,8,8],[3,8,8,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,2,3,3,3,3,8,8,8,8],[3,8,8,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,8,8,8,8],[3,8,8,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,8,8,8,8,8],[0,0,0,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,8,8,8,8,8],[0,0,0,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,8,8,8,8,8],[0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,3,3,8,8,8,8,8],[0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,3,8,8,8,8,8],[0,0,0,0,0,0,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,3,8,8,8,8,8],[0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,6,6,6,6,6,6,6,6,3,8,8,8,8,8],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,3,3,8,8,8,8],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,3,3,3,8,8,8,8],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,6,6,6,6,6,6,3,3,3,0,0,8,8],[0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,6,6,6,6,6,3,3,3,0,0,0,8,8],[0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,6,6,6,3,3,3,3,0,0,0,0,8,8],[0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0],[0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]],[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5],[2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5],[2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5],[2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5],[2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5],[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6],[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6],[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6],[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6]]]}"
5/8/2026,Question 10,1,Question Time 10,307,Question Cost 10,,Question Tokens 10,,Cell Accuracy 10,100%,Output 10,"{""outputs"": [ [ [8, 8, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 4, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [8, 8, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 4, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [8, 8, 8, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 8, 8, 8, 8, 8], [8, 8, 8, 8, 6, 6, 6, 8, 8, 8, 8, 8, 8, 8, 8, 6, 6, 6, 6, 6, 6, 6, 8, 8, 8], [8, 8, 8, 8, 8, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 8, 8, 8], [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 6, 8, 6, 6, 6, 8, 8, 8, 8], [8, 8, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 8, 8, 8, 8, 8, 8, 8], [8, 8, 8, 8, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 6, 6, 8, 8, 8, 8, 8, 8, 8], [8, 8, 8, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [8, 8, 8, 8, 8, 6, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [8, 8, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 4, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 6, 6, 6, 6, 6, 6, 8, 8, 8], [8, 8, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 8, 8], [8, 8, 8, 8, 6, 6, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 6, 8, 8, 8], [8, 8, 8, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 8, 8, 8, 3, 3, 3, 3, 8, 8, 8], [8, 8, 6, 6, 6, 6, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 6, 6, 6, 6, 6, 6, 6], [8, 8, 8, 8, 6, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 8, 8, 8, 6, 6, 6, 6, 6, 6, 6], [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 6, 6, 6, 6, 6], [8, 8, 8, 8, 8, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 8, 8, 6, 6, 6, 6, 6, 8], [8, 8, 6, 6, 6, 6, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [8, 8, 8, 8, 8, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 8, 8, 8, 8, 8, 8, 8, 8], [8, 8, 8, 8, 8, 6, 6, 8, 8, 8, 8, 8, 8, 8, 8, 6, 6, 8, 8, 8, 8, 8, 8, 8, 8], [8, 8, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 8, 8, 8, 8, 8, 8, 8, 8] ], [ [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 3, 2], [2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 3, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 3, 2], [2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 3, 1, 1, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 3, 2], [4, 2, 4, 2, 3, 2, 4, 2, 4, 2, 3, 2, 4, 2, 4, 2, 3, 2, 4, 2, 4, 2, 3, 2, 4, 2, 4, 2, 3, 2], [4, 2, 4, 2, 3, 2, 4, 2, 4, 2, 3, 2, 4, 2, 4, 2, 3, 2, 4, 2, 4, 2, 3, 2, 4, 2, 4, 2, 3, 2], [4, 2, 4, 2, 3, 2, 4, 2, 4, 2, 3, 2, 4, 2, 4, 2, 3, 2, 4, 2, 4, 2, 3, 2, 4, 2, 4, 2, 3, 2], [4, 2, 4, 2, 3, 2, 4, 2, 4, 2, 3, 2, 4, 2, 4, 2, 3, 2, 4, 2, 4, 2, 3, 2, 4, 2, 4, 2, 3, 2], [4, 2, 4, 2, 3, 2, 4, 2, 4, 2, 3, 2, 4, 2, 4, 2, 3, 2, 4, 2, 4, 2, 3, 2, 4, 2, 4, 2, 3, 2], [2, 2, 2, 1, 3, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 1, 3, 2, 2, 2, 2, 1, 3, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2], [2, 1, 1, 1, 3, 2, 2, 2, 1, 1, 3, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2], [2, 2, 1, 1, 2, 2, 2, 2, 1, 1, 3, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2], [2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 3, 1, 1, 1, 2, 2, 3, 1, 2, 2, 2, 2, 3, 1, 1, 1, 2, 2, 2, 2], [2, 2, 2, 2, 2, 1, 1, 2, 1, 1, 3, 1, 2, 2, 2, 2, 3, 1, 2, 2, 2, 1, 3, 1, 1, 1, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 3, 1, 2, 2, 2, 2, 3, 1, 2, 2, 1, 1, 3, 1, 1, 1, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 3, 1, 1, 1, 1, 2, 2, 2], [2, 2, 1, 1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 3, 1, 1, 1, 1, 2, 2, 2], [2, 2, 1, 1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 3, 1, 1, 1, 1, 2, 2, 2], [2, 2, 2, 1, 3, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 1, 1, 1, 1, 2, 2, 2], [2, 2, 2, 1, 3, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2], [2, 2, 2, 1, 3, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2], [2, 2, 1, 1, 3, 1, 2, 2, 2, 1, 3, 1, 1, 1, 1, 1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2], [2, 2, 2, 1, 3, 1, 2, 2, 2, 1, 3, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2], [2, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] ] ]}"
