,,Correct?,,Seconds,,Dollars,,Tokens,,Cell Accuracy,,
Score:,Question 1,0,Question Time 1,,Question Cost 1,,Question Tokens 1,,Cell Accuracy 1,,Output 1,
3.70%,Question 2,0,Question Time 2,2784,Question Cost 2,$0.09,Question Tokens 2,"74,337",Cell Accuracy 2,,Output 2,
Total Time (seconds):,Question 3,0,Question Time 3,,Question Cost 3,,Question Tokens 3,,Cell Accuracy 3,,Output 3,
19683,Question 4,0,Question Time 4,,Question Cost 4,,Question Tokens 4,,Cell Accuracy 4,,Output 4,
Total Cost (dollars):,Question 5,0,Question Time 5,,Question Cost 5,,Question Tokens 5,,Cell Accuracy 5,,Output 5,
$0.96,Question 6,0,Question Time 6,,Question Cost 6,,Question Tokens 6,,Cell Accuracy 6,,Output 6,
Model:,Question 7,0,Question Time 7,2277,Question Cost 7,$0.09,Question Tokens 7,"73,627",Cell Accuracy 7,70.200%,Output 7,"{""outputs"": [[[4, 4, 4, 4, 4, 4, 4, 4, 4, 4],[4, 1, 4, 1, 4, 4, 4, 4, 4, 1],[4, 1, 4, 1, 4, 4, 4, 4, 4, 1],[4, 1, 4, 1, 4, 4, 4, 4, 4, 1],[1, 1, 1, 1, 1, 4, 4, 4, 1, 1]],[[4, 4, 4, 1, 1],[4, 1, 1, 4, 1],[4, 1, 1, 1, 4],[4, 4, 4, 4, 4],[4, 4, 4, 4, 4],[4, 1, 1, 1, 4],[1, 4, 1, 1, 4],[1, 1, 4, 4, 4]]]}"
deepseek v4 pro,Question 8,0,Question Time 8,,Question Cost 8,,Question Tokens 8,,Cell Accuracy 8,,Output 8,
Date:,Question 9,0,Question Time 9,,Question Cost 9,,Question Tokens 9,,Cell Accuracy 9,,Output 9,
5/5/2026,Question 10,0,Question Time 10,,Question Cost 10,,Question Tokens 10,,Cell Accuracy 10,,Output 10,
