question_id,number_of_concepts,object_abstraction,transformation_depth,distractors,output_precision,rule_ambiguity,compositionality,computed_average,suggested_weight_bucket,manual_weight_override,final_weight,tags,notes,difficulty_rationale
q3,1,2,1,2,1,2,4,1.86,1,,1,pattern-completion,,
q4,1,2,2,2,1,2,4,2,1,1.5,1.5,object-motion,,- object wall collision detection
q5,1,3,2,3,3,3,2,2.43,1.5,2.5,2.5,,,
q6,2,2,3,1,2,3,3,2.29,1.5,,1.5,pattern,,
q7,1,3,2,1,4,2,3,2.29,1.5,2.5,2.5,,,
q8,4,3,2,2,4,5,2,3.14,2.5,4,4,,,
q9,5,4,4,4,5,5,4,4.43,3.5,5.5,5.5,,,
q10,2,2,1,2,2,2,2,1.86,1,2,2,,,
q11,2,2,3,1,3,2,1,2,1,2,2,,,
q12,2,4,2,3,2,3,2,2.57,2,,2,,,
q13,4,4,3,2,5,5,5,4,3,5,5,,,
q14,1,1,1,1,1,1,1,1,0.5,,0.5,,,
q15,2,3,2,1,3,2,2,2.14,1.5,2,2,,,
q16,2,3,2,1,5,2,2,2.43,1.5,3,3,,,
q17,4,4,3,3,3,5,3,3.57,3,4,4,,,
q18,4,3,3,3,3,5,3,3.43,2.5,4,4,,,
q19,2,3,2,2,4,2,1,2.29,1.5,3.5,3.5,,,
q20,3,4,2,3,2,4,2,2.86,2,3.5,3.5,,,
q21,2,2,1,2,2,2,2,1.86,1,2,2,,,
q22,2,3,2,3,1,3,3,2.43,1.5,2,2,,,
q23,1,1,1,1,1,1,1,1,0.5,,0.5,,,
q24,2,2,2,2,2,3,2,2.14,1.5,3.5,3.5,,,
q25,2,3,1,2,2,2,2,2,1,3,3,,,
q26,4,4,3,5,4,4,2,3.71,3,3.5,3.5,,,
q27,3,4,5,2,5,4,1,3.43,2.5,3,3,,,
